error_code,error_desc,channel,issuer_bank,amount,bank_uptime_pct,attempts_made,label
CART_ABANDONED_SHIPPING_FRICTION,User exited after shipping charge calculated,MAGIC_CHECKOUT,ICIC,11170.4,98.9,0,BEHAVIORAL_DROPOFF
CART_ABANDONED_SHIPPING_FRICTION,User exited after shipping charge calculated,MAGIC_CHECKOUT,KKBK,19101.52,97.8,0,BEHAVIORAL_DROPOFF
CARD_EXPIRED,Mandate card token expired; bank declined authorization,CARD_MANDATE,SBIN,22839.42,78.2,0,HARD_PERMANENT
TOKENIZATION_TIMEOUT,card token vault timeout during authorization,CARD_MANDATE,KKBK,18993.91,97.8,1,TRANSIENT_TECHNICAL
UPI_DAILY_LIMIT_EXCEEDED,"UPI daily cap khatam, kal retry karo",UPI_AUTOPAY,HDFC,34194.33,99.4,0,SOFT_FINANCIAL
OTP_TIMEOUT,"customer ne OTP time par enter nahi kiya, session expire",MAGIC_CHECKOUT,ICIC,7164.64,98.9,3,TRANSIENT_TECHNICAL
INVOICE_OVERDUE_30_DAYS,Net-30 invoice crossed due date without payment reconciliation,B2B_INVOICE,HDFC,17220.12,99.4,0,COMMERCIAL_DISPUTE
MANDATE_AMOUNT_EXCEEDS_CAP,"autopay cap se zyada amount, bank ne decline kiya",UPI_AUTOPAY,HDFC,32891.71,99.4,1,SOFT_FINANCIAL
CART_ABANDONED_SHIPPING_FRICTION,shipping fee dekh kar customer ne cart chhod diya,MAGIC_CHECKOUT,HDFC,24930.97,99.4,3,BEHAVIORAL_DROPOFF
MANDATE_AMOUNT_EXCEEDS_CAP,"mandate amount exceeds NPCI cap of Rs.1,00,000",UPI_AUTOPAY,HDFC,2251.98,99.4,0,SOFT_FINANCIAL
INVOICE_APPROVAL_PENDING,Invoice stuck in enterprise procurement approval workflow,B2B_INVOICE,SBIN,39018.33,78.2,1,COMMERCIAL_DISPUTE
INVALID_VPA_PERMANENT,"galat UPI ID, ye VPA exist nahi karti",UPI_AUTOPAY,ICIC,7486.07,98.9,0,HARD_PERMANENT
GATEWAY_ERROR,"downstream gateway error, retry after clearing window",UPI_AUTOPAY,HDFC,27488.68,99.4,0,TRANSIENT_TECHNICAL
TOKENIZATION_TIMEOUT,card token vault timeout during authorization,CARD_MANDATE,SBIN,20908.72,78.2,0,TRANSIENT_TECHNICAL
